ChEMBL_ID,canonical_smiles,activity_flag,standard_value,pIC50
CHEMBL4211681,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2cccc(F)c2)SC1=S,inactive,19800.0,4.703334809738469
CHEMBL4216142,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccccc2)SC1=S,inactive,32200.0,4.492144128304169
CHEMBL4218113,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccccc2F)SC1=S,inactive,13590.0,4.866780543267506
CHEMBL4294646,O=C(O)CN1C(=O)/C(=C/c2nc3cc(Cl)ccc3n2Cc2ccccc2F)SC1=S,active,5640.0,5.248720896016658
CHEMBL4279306,O=C(O)CN1C(=O)/C(=C/c2nc3cc(F)ccc3n2Cc2ccccc2F)SC1=S,inactive,32650.0,4.486116814388907
CHEMBL4282439,O=C(O)CN1C(=O)/C(=C/c2nc3ccc(Cl)cc3n2Cc2ccccc2F)SC1=S,inactive,26860.0,4.570893991667304
CHEMBL4281697,O=C(O)CN1C(=O)/C(=C/c2nc3ccc(F)cc3n2Cc2ccccc2F)SC1=S,inactive,50000.0,4.301029995663981
CHEMBL4280189,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2CC(=O)c2ccc(Cl)cc2)SC1=S,active,9850.0,5.006563769502388
CHEMBL4292940,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2CC(=O)c2ccc(F)cc2)SC1=S,inactive,12770.0,4.893809102736585
CHEMBL4276731,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(Br)cc2)SC1=S,active,9120.0,5.0400051616715835
CHEMBL4285484,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(Br)cc2F)SC1=S,inactive,27310.0,4.563678299860267
CHEMBL4278196,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(C(F)(F)F)cc2)SC1=S,inactive,25280.0,4.597222930389653
CHEMBL4282734,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(Cl)cc2)SC1=S,inactive,17510.0,4.756713853916554
CHEMBL4284533,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(F)c(F)c2)SC1=S,inactive,13420.0,4.872247484167027
CHEMBL4285092,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(F)cc2)SC1=S,active,3570.0,5.447331783887806
CHEMBL4286539,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(F)cc2F)SC1=S,inactive,12830.0,4.891773343625071
CHEMBL4289545,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc([N+](=O)[O-])cc2)SC1=S,inactive,11420.0,4.942333896090171
CHEMBL4294423,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2cccc(F)c2)SC1=S,inactive,23160.0,4.635261444944601
CHEMBL4292926,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2)SC1=S,active,8760.0,5.057495893831919
CHEMBL4286115,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S,active,2670.0,5.573488738635425
OWN_4,O=C1N(CCc2c[NH]c3ccccc32)C(=N/C2CCCCC2)\SC1CC(O)=O,inactive,100000.0,4.0
OWN_1,O=C1N(CCc2c[NH]c3ccccc32)C(=N/c2ccc(F)c(Cl)c2)\SC1CC(O)=O,inactive,100000.0,4.0
OWN_3,O=C1N(CCc2c[NH]c3ccccc32)C(=N/c2ccccc2)\SC1CC(O)=O,inactive,100000.0,4.0
OWN_10,O=C1N(C(=N/c2ccc(I)cc2)/SC1CC(O)=O)c1nccs1,inactive,100000.0,4.0
OWN_6,O=C1N(C(=N/c2ccccc2)/SC1CC(O)=O)c1ncn[NH]1,inactive,100000.0,4.0
OWN_8,O=C1N(C(=N/c2ccccc2)/SC1CC(O)=O)c1nccs1,inactive,100000.0,4.0
CHEMBL2236295,O=C(O)c1ccc(CN2C(=O)S/C(=C\c3ccc(Br)cc3)C2=O)cc1,inactive,42000.0,4.376750709602099
CHEMBL2236296,O=C(O)c1ccc(CN2C(=O)S/C(=C\c3ccc(F)cc3)C2=O)cc1,inactive,36000.0,4.443697499232712
CHEMBL2236294,O=C(O)c1ccc(CN2C(=O)S/C(=C\c3ccccc3)C2=O)cc1,inactive,90000.0,4.045757490560675
CHEMBL2236301,O=C(O)c1ccc(CN2C(=O)S/C(=C\c3ccccn3)C2=O)cc1,inactive,80000.0,4.096910013008056
CHEMBL2236302,O=C(O)c1ccc(CN2C(=O)S/C(=C\c3cccnc3)C2=O)cc1,inactive,75000.0,4.1249387366083
CHEMBL2236304,O=C(O)c1ccc(CN2C(=O)S/C(=C\c3ccco3)C2=O)cc1,inactive,76000.0,4.119186407719209
CHEMBL2236305,O=C(O)c1ccc(CN2C(=O)S/C(=C\c3cccs3)C2=O)cc1,inactive,80000.0,4.096910013008056
CHEMBL2236303,O=C(O)c1ccc(CN2C(=O)S/C(=C\c3ccncc3)C2=O)cc1,inactive,72000.0,4.142667503568732
